source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2024,2016428880
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2023,4789996739.26742
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2022,2928675555.20778
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2021,2588127208.45378
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2020,1845665272.73822
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2019,1065461344.07465
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2018,847841574.790215
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2017,588292997.958708
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2016,472409799.846776
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2015,409166125.814909
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2014,403098056.387862
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2013,311366768.819424
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2012,276159533.004473
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2011,338661995.579347
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2010,272092888.456612
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2009,331473910.250357
